agency_cd,site_no,construction,peak_dt,peak_va,gage_ht
USGS,8075000,1970-2005, 1970-05-21,11500,41.4
USGS,8075000,1970-2005, 1970-10-11,15500,43.54
USGS,8075000,1970-2005, 1972-05-12,11700,40.56
USGS,8075000,1970-2005, 1973-06-13,24800,49.9
USGS,8075000,1970-2005, 1974-01-19,8660,37.96
USGS,8075000,1970-2005, 1975-06-09,18000,45.34
USGS,8075000,1970-2005, 1976-06-15,29000,52.13
USGS,8075000,1970-2005, 1977-04-20,8710,38.38
USGS,8075000,1970-2005, 1978-06-07,6260,35.9
USGS,8075000,1970-2005, 1979-04-19,25500,50.36
USGS,8075000,1970-2005, 1980-01-22,11300,40.66
USGS,8075000,1970-2005, 1981-08-31,25400,50.32
USGS,8075000,1970-2005, 1982-05-13,17700,45.57
USGS,8075000,1970-2005, 1983-09-19,29000,52.13
USGS,8075000,1970-2005, 1983-11-30,8640,38.31
USGS,8075000,1970-2005, 1985-03-20,13200,42.22
USGS,8075000,1970-2005, 1985-11-11,17300,45.26
USGS,8075000,1970-2005, 1987-06-12,22400,48.35
USGS,8075000,1970-2005, 1988-03-02,8290,37.98
USGS,8075000,1970-2005, 1989-08-01,21500,47.81
USGS,8075000,1970-2005, 1990-04-26,10400,39.94
USGS,8075000,1970-2005, 1991-01-15,19800,46.74
USGS,8075000,1970-2005, 1992-03-04,23000,48.74
USGS,8075000,1970-2005, 1993-06-19,16000,44.21
USGS,8075000,1970-2005, 1993-11-16,16600,44.65
USGS,8075000,1970-2005, 1994-10-18,27000,51.02
USGS,8075000,1970-2005, 1996-09-19,17700,45.4
USGS,8075000,1970-2005, 1997-03-12,23400,48.96
USGS,8075000,1970-2005, 1998-09-11,25500,50.21
USGS,8075000,1970-2005, 1998-11-14,16700,44.67
USGS,8075000,1970-2005, 2000-04-12,7640,37.34
USGS,8075000,1970-2005, 2001-06-09,33000,54.13
USGS,8075000,1970-2005, 2002-08-15,17900,45.52
USGS,8075000,1970-2005, 2002-10-28,11800,41.09
USGS,8075000,1970-2005, 2003-11-17,25600,50.25
USGS,8075000,1970-2005, 2005-05-08,12800,41.83
USGS,8075000,1970-2005, 2005-12-14,12700,41.82
USGS,8075000,2006-2016, 2006-10-16,17700,36.23
USGS,8075000,2006-2016, 2008-09-13,25500,41.02
USGS,8075000,2006-2016, 2009-04-28,18800,36.95
USGS,8075000,2006-2016, 2010-07-02,19200,37.2
USGS,8075000,2006-2016, 2010-12-29,14700,34.15
USGS,8075000,2006-2016, 2012-01-09,25300,40.93
USGS,8075000,2006-2016, 2013-04-27,21700,38.78
USGS,8075000,2006-2016, 2014-09-19,15700,34.86
USGS,8075000,2006-2016, 2015-05-26,28700,42.83
USGS,8075000,2006-2016, 2016-04-18,27200,41.98
